source,target,category,color
Faisal Hussain,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Muhammad Adil Ali,Institute Of Business Management Karachi,Masters Institute,#2ca02c
Salim Ullah Ghauri,Punjab University,Bachelor Institute,#1f77b4
Shabbir Diwan,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Fahd Kamal Chinoy,University Of Pennsylvania,Bachelor Institute,#1f77b4
Fahd Kamal Chinoy,Insead,Masters Institute,#2ca02c
Khursheed Anwer Jamal,Government College,Bachelor Institute,#1f77b4
Khursheed Anwer Jamal,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Syed Sheharyar Ali,Saint Louis University,Bachelor Institute,#1f77b4
Syed Sheharyar Ali,Imperial College London,Bachelor Institute,#1f77b4
Muhammad Imran Malik,Punjab University,Masters Institute,#2ca02c
Mahmood Akhtar,Punjab University,Masters Institute,#2ca02c
Zain Shahzad,Queen'S University,Bachelor Institute,#1f77b4
Zain Shahzad,Northwestern University,Masters Institute,#2ca02c
Imran Qureshi,Ned University Of Engineering And Technology,Bachelor Institute,#1f77b4
Imran Qureshi,Karachi University,Bachelor Institute,#1f77b4
Imran Qureshi,Southeastern University,Masters Institute,#2ca02c
Aftab Ahmad,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Ali Alam Qamar,Soas University Of London,Bachelor Institute,#1f77b4
Ali Alam Qamar,University Of Cambridge,Masters Institute,#2ca02c
Adeel Qamar,Gik Institute Of Engineering Sciences And Technology,Bachelor Institute,#1f77b4
Mian Faisal Iftikhar,Wichita State University,Masters Institute,#2ca02c
Mohammad Baig,Imperial College London,Masters Institute,#2ca02c
Manzar Mushtaq,Clark University,Bachelor Institute,#1f77b4
Masroor Ahmad Khan,Punjab University,Bachelor Institute,#1f77b4
Zia Zakaria,Syracuse University,Bachelor Institute,#1f77b4
Anwaar Ahmad Khan,Punjab University,Bachelor Institute,#1f77b4
Rasikh Elahi,Lahore American School,Bachelor Institute,#1f77b4
Rasikh Elahi,University Of Buckingham,Masters Institute,#2ca02c
Shaheen Amin,New York University,Masters Institute,#2ca02c
Shaheen Amin,University Of Chicago,Masters Institute,#2ca02c
Farrukh Ifzal,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Shahzad Ahmed,Babson College,Bachelor Institute,#1f77b4
Gulraiz A. Khan,National Defence University Islamabad,Masters Institute,#2ca02c
Gulraiz A. Khan,London Business School,Masters Institute,#2ca02c
Ali H. Shirazi,Yale University,Bachelor Institute,#1f77b4
Ali H. Shirazi,University Of Bristol,Masters Institute,#2ca02c
Tanveer Karamat,Dawood University Of Engineering And Technology,Bachelor Institute,#1f77b4
Hassan Tahir,Lahore School Of Economics,Masters Institute,#2ca02c
Ahsan M. Saleem,Government College,Bachelor Institute,#1f77b4
Ahsan M. Saleem,Harvard University,Masters Institute,#2ca02c
Anwar Moin,Gordon College Rawalpindi,Bachelor Institute,#1f77b4
Yakoob Haji Karim,University Of Salford,Bachelor Institute,#1f77b4
Rehman Naseem,Columbia University,Bachelor Institute,#1f77b4
Shayan Akberali,Northwestern University,Bachelor Institute,#1f77b4
Shahid Ali Habib,National University Of Computer And Emerging Sciences,Bachelor Institute,#1f77b4
Shahid Ali Habib,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Ghazanfar Baber Siddiqi,Karachi University,Masters Institute,#2ca02c
Ghazanfar Baber Siddiqi,International University,Masters Institute,#2ca02c
Jamal Nasir Khan,Ned University Of Engineering And Technology,Bachelor Institute,#1f77b4
Jamal Nasir Khan,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Muhammad Akram Shahid,Karachi University,Bachelor Institute,#1f77b4
Muhammad Akram Shahid,Punjab University,Masters Institute,#2ca02c
Muhammad Akram Shahid,Sindh Muslim Government Arts And Commerce College,Masters Institute,#2ca02c
Imran Ghani,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Imran Ghani,University Of Engineering And Technology,Masters Institute,#2ca02c
Imran Ghani,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Ali Jameel,London School Of Economics And Political Science,Bachelor Institute,#1f77b4
Ali Jameel,Institute Of Chartered Accountants In England And Wales,Professional Qualifications,#9467bd
Aamir Fayyaz Sheikh,University Of Texas At Austin,Bachelor Institute,#1f77b4
Ahmed H. Shaikh,Brown University,Bachelor Institute,#1f77b4
Yasir Siddique Sheikh,Lahore University Of Management Sciences,Bachelor Institute,#1f77b4
Yasir Siddique Sheikh,Lahore University Of Management Sciences,Masters Institute,#2ca02c
Asad Ahmad,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Mustafa Jafar,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Shayan Abdullah,Babson College,Bachelor Institute,#1f77b4
Ahmed Ebrahim Hasham,Tufts University,Bachelor Institute,#1f77b4
Hussain Iqbal Agha,Bentley University,Bachelor Institute,#1f77b4
Hussain Iqbal Agha,Mccallum Graduate School Of Business,Masters Institute,#2ca02c
Hussain Iqbal Agha,Bentley University,Masters Institute,#2ca02c
Khalid Sarfaraz Ghori,Karachi University,Bachelor Institute,#1f77b4
Mohammed Yasin Fecto,Quaid-I-Azam University,Masters Institute,#2ca02c
Amer Faruque,Drake University,Bachelor Institute,#1f77b4
Numan Noor,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Taha Muhammad Naseem,University Of Illinois,Bachelor Institute,#1f77b4
Taha Muhammad Naseem,Insead,Masters Institute,#2ca02c
Umer Shehzad Sheikh,Institute Of Cost And Management Accountants Of Pakistan,Professional Qualifications,#9467bd
Nazish Ali (Acting),Punjab University,Bachelor Institute,#1f77b4
Arshad Shehzada,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Fahim Kapadia,Government College,Bachelor Institute,#1f77b4
Fahim Kapadia,Southeastern University,Bachelor Institute,#1f77b4
Sheraz Khan,Punjab University,Bachelor Institute,#1f77b4
Sheraz Khan,Lahore University Of Management Sciences,Masters Institute,#2ca02c
Najam Aziz Sethi,Government College,Bachelor Institute,#1f77b4
Najam Aziz Sethi,University Of Cambridge,Masters Institute,#2ca02c
Hussain Kuli Khan,Gettysburg College,Bachelor Institute,#1f77b4
Lirene Mora-Suarez,University Of The Philippines,Bachelor Institute,#1f77b4
Ayaz Dawood,Columbia University,Masters Institute,#2ca02c
Muhammad Mohtashim Aftab,Punjab University,Bachelor Institute,#1f77b4
Muhammad Mohtashim Aftab,Institute Of Cost And Management Accountants Of Pakistan,Professional Qualifications,#9467bd
Syed Masood Abbas Jaffery,Karachi University,Bachelor Institute,#1f77b4
